sitio;tipo;cal ap max;cal ap min
Cabeçuda I;Sambaqui;3696;3285
Cabeçuda I;Sambaqui;4211;3748
Cabeçuda I;Sambaqui;4418;3938
Cabeçuda I;Sambaqui;4418;3938
Cabeçuda I;Sambaqui;1589;1342
Cabeçuda I;Sambaqui;1820;1561
Cabeçuda I;Sambaqui;1841;1605
Cabeçuda I;Sambaqui;2151;1892
Cabeçuda I;Sambaqui;2937;2729
Cabeçuda I;Sambaqui;3078;2781
Cabeçuda I;Sambaqui;4155;3831
Cabeçuda I;Sambaqui;5084;3979
Cabeçuda I;Sambaqui;2151;1892
SC-NB-04;Sambaqui;4417;4229
Pedra Chata (Bananal);Sambaqui;1701;1365
Baixo Rio D'Una I;Sambaqui;807;721
SC-LGN-50;Guarani;524;448
SC-LGN-50;Guarani;558;505
SC-LGN-50;Guarani;564;517
SC-NB-01;Guarani;470;314
