sitio;tipo;cal ap max;cal ap min
Cabeçuda I;Sambaqui;1721;1536
Cabeçuda I;Sambaqui;1930;1751
Cabeçuda I;Sambaqui;1988;1830
Cabeçuda I;Sambaqui;2318;2145
Cabeçuda I;Sambaqui;2318;2145
Cabeçuda I;Sambaqui;3060;2865
Cabeçuda I;Sambaqui;3210;3005
Cabeçuda I;Sambaqui;3976;3662
Cabeçuda I;Sambaqui;5579;3695
Cabeçuda I;Sambaqui;4351;4013
Cabeçuda I;Sambaqui;4499;4175
Cabeçuda I;Sambaqui;4776;4405
Cabeçuda I;Sambaqui;4776;4405
SC-NB-04;Sambaqui;4418;4159
Roça Grande II;Sambaqui;3970;3810
Roça Grande II;Sambaqui;4290;4080
Roça Grande II;Sambaqui;3960;3950
Pedra Chata (Bananal);Sambaqui;1975;1765
Ponta das Laranjeiras II;Sambaqui;2045;1752
Aldeia da ZPE;Guarani (TL);816;516
Aldeia da ZPE;Guarani (TL);931;541
Aldeia da ZPE;Guarani (TL);1301;701
Aldeia da ZPE;Guarani (TL);1171;731
Aldeia da ZPE;Guarani (TL);1211;771
Baixo Rio D' Una I;Guarani;903;689
Awyra;Guarani;550;490
Awyra;Guarani;650;530
SC-LGN-050;Guarani;527;340
SC-LGN-050;Guarani;524;505
SC-LGN-050;Guarani;631;519
Cabeçuda II;Guarani;630;500
SC-NB-01;Guarani;486;315
